batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
25,14,1,1,26.131,32.4566,-24.207263403620228,956.71807431786,770.2593617322824
25,15,1,1,28.3344,35.4644,-25.16375854085493,882.3197244339037,704.9322701074881
25,16,1,1,25.8429,32.0416,-23.986085152982067,967.383691458776,780.2356935983221
25,17,1,1,25.8841,43.3187,-67.35640798791536,965.8438964460807,577.117965220563
25,18,1,1,25.8235,31.7235,-22.847406432125787,968.1104420392279,788.0593251059939
25,19,1,1,25.7225,32.1035,-24.807075517542994,971.9117504130626,778.7312909807342
25,20,1,1,25.7556,32.0378,-24.391588625386305,970.662690832285,780.3282372697252
25,21,1,1,25.8127,31.9585,-23.809210194981546,968.5154981850019,782.264499272494
25,22,1,1,25.5922,32.1085,-25.462054844835542,976.8601370730145,778.6100253826869
25,23,1,1,25.8656,31.8757,-23.235880861066427,966.5347024619572,784.2965017238837
25,24,1,1,25.7635,31.939,-23.96995749801075,970.3650513323112,782.7421021321894
25,25,1,1,25.2885,31.3754,-24.06983411432074,988.5916523320877,796.8025905645825
25,26,1,1,25.6473,31.6318,-23.33384020930077,974.7614758668553,790.3438944353467
25,27,1,1,25.6868,31.759,-23.639378980643748,973.2625317283585,787.178437608237
25,28,1,1,26.0195,31.8621,-22.454697438459622,960.8178481523472,784.6312703807971
25,29,1,1,25.891,31.5538,-21.871692866246963,965.5864972384227,792.2975996551921
25,30,1,1,25.7125,31.89,-24.025279533300935,972.2897423432183,783.9448102853559
50,1,1,1,51.9764,59.3228,-14.134107017800392,961.9750502150977,842.8462580997525
50,2,1,1,51.3921,58.8799,-14.569943629468343,972.9121791092406,849.1862248407351
50,3,1,1,51.3684,59.1503,-15.149196782457699,973.3610546561699,845.3042503588316
50,4,1,1,51.4827,59.1752,-14.941912525955312,971.2000341862412,844.9485595316958
50,5,1,1,51.4768,59.1713,-14.947510334752753,971.3113480247413,845.0042503713793
50,6,1,1,51.4094,59.362,-15.469155446280261,972.5847802152914,842.2896802668373
50,7,1,1,51.4919,59.3705,-15.30065893859034,971.0265109658023,842.1690907100327
50,8,1,1,50.8243,59.1577,-16.39648750696025,983.7813801665739,845.1985117744605
50,9,1,1,50.8911,58.5225,-14.995549320018625,982.4900621130217,854.3722499893204
50,10,1,1,51.2133,58.5048,-14.23751252116151,976.3088885113829,854.6307311536831
50,11,1,1,51.364,59.0852,-15.03231835526829,973.444435791605,846.23560553235
50,12,1,1,51.1441,58.6826,-14.739725598847176,977.6298732405105,852.0413205958836
50,13,1,1,51.3538,59.3365,-15.544516666731578,973.6377833772768,842.6516562318303
50,14,1,1,51.2865,59.1138,-15.261911029218219,974.915426086787,845.8261861020608
50,15,1,1,51.0066,59.1661,-15.996949414389514,980.2652990005215,845.0785162449444
50,16,1,1,51.4108,59.8615,-16.43759676955036,972.558295144211,835.2613950535821
50,17,1,1,51.1936,59.0813,-15.407590011251395,976.6845855731965,846.2914661661135
50,18,1,1,51.4885,59.3215,-15.213105839167966,971.0906318886741,842.8647286397006
50,19,1,1,51.4085,59.2916,-15.33423461100792,972.6018070941576,843.289774605509
50,20,1,1,51.6827,59.3153,-14.768191290315722,967.4417164737911,842.9528300455363
50,21,1,1,51.1153,58.9257,-15.279965098512584,978.1807012773085,848.5261948521613
50,22,1,1,51.7038,59.6105,-15.292299598868944,967.0469095114865,838.7784031336761
50,23,1,1,51.776,59.2752,-14.483930778739174,965.6983930778739,843.5230922881744
50,24,1,1,51.3589,59.3698,-15.597880795733552,973.5410999846181,842.1790203099893
50,25,1,1,51.1655,58.9971,-15.306407637959175,977.2209789799767,847.4992838631051
50,26,1,1,51.1049,58.9891,-15.427483470273886,978.3797639756657,847.6142202542503
