batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
300,7,1,1,310.6685,333.911,-7.481447266137381,965.6595374168929,898.4429982839738
300,8,1,1,312.5551,334.5206,-7.027720872255811,959.8307626399314,896.8057572538133
300,9,1,1,310.0027,334.2242,-7.8133190452857315,967.7335068371984,897.6010713766389
300,10,1,1,307.9033,332.5353,-7.99991425879489,974.3318762741419,902.1598609230357
300,11,1,1,339.3302,337.8527,0.4354165942200145,884.0946075533508,887.9609368224673
300,12,1,1,311.0936,338.3601,-8.764725471690838,964.3399928510263,886.6293632139251
300,13,1,1,311.1187,334.8669,-7.633163805325748,964.262193175788,895.8783325554124
300,14,1,1,307.9805,333.2661,-8.210130186813771,974.0876451593526,900.1815666219876
300,15,1,1,309.8419,333.8131,-7.736590822609856,968.2357357090826,898.7064917464293
300,16,1,1,312.638,347.6356,-11.194288602153302,959.5762511275021,862.9726069481952
300,17,1,1,310.3046,337.2488,-8.683145528619306,966.7919843921103,889.5509783874694
300,18,1,1,310.6669,336.2304,-8.228588240330714,965.6645107669983,892.2453174965738
300,19,1,1,309.2686,336.5862,-8.832969140740454,970.0305818308099,891.302138946873
300,20,1,1,310.9483,335.0555,-7.752800063547533,964.7906098859521,895.3740499708257
300,21,1,1,309.3539,334.9754,-8.282261836686063,969.763109500155,895.5881536375507
300,22,1,1,308.5451,333.3107,-8.026573748861999,972.3051832617014,900.0611141496507
300,23,1,1,332.3522,347.5993,-4.5876332396776816,902.6568802613614,863.0627276867357
300,24,1,1,317.8787,335.1026,-5.418387579916495,943.7562189602513,895.2482015955711
300,25,1,1,308.2356,335.2915,-8.777668770252369,973.2814768962443,894.7438273860209
300,26,1,1,309.9133,333.5113,-7.614387636800361,968.0126667684156,899.5197464073931
300,27,1,1,308.9925,334.7174,-8.325412429104263,970.8973518774727,896.2784725263759
300,28,1,1,315.2959,338.3938,-7.32578507998359,951.4871585707267,886.5410654686935
300,29,1,1,317.449,340.6241,-7.300416759857484,945.0336904510644,880.7362720371225
300,30,1,1,311.9709,337.6598,-8.234389810075252,961.6281518564713,888.4682156418975
500,1,1,1,519.8204,555.4041,-6.84538352092377,961.8706768722428,900.2454249077384
500,2,1,1,520.3351,563.1275,-8.224007951798763,960.9192230160909,887.8983889083734
500,3,1,1,529.2569,558.1603,-5.4611286125887135,944.7207962711494,895.800005840616
500,4,1,1,517.1322,553.2932,-6.992602665237234,966.8707537453672,903.6800018507367
500,5,1,1,520.5308,556.4388,-6.898342999107837,960.5579535351224,898.5714152212247
500,6,1,1,516.7555,580.1407,-12.265994266147155,967.5755749092172,861.8598901956025
500,7,1,1,517.0335,558.3299,-7.987180714595853,967.0553262022673,895.5278948879508
500,8,1,1,568.9198,581.7954,-2.2631660912487073,878.8584963996683,859.4086512199993
500,9,1,1,517.1184,553.773,-7.088241300251562,966.8965559918194,902.8970354278738
500,10,1,1,515.3763,554.0244,-7.499006066053095,970.1649066905094,902.4873272729504
500,11,1,1,517.6787,553.9408,-7.004750243732245,965.8500533245814,902.6235294457458
500,12,1,1,514.3908,555.7893,-8.04806384562088,972.0236053988523,899.6214932529286
500,13,1,1,520.3623,571.0039,-9.731988654827614,960.8689945447622,875.6507617548672
500,14,1,1,517.288,554.0244,-7.101730564018497,966.5795456302873,902.4873272729504
500,15,1,1,518.1632,555.3693,-7.18038255128886,964.9469510764177,900.3018351932669
500,16,1,1,517.9391,553.5042,-6.866656716976941,965.3644608024377,903.3355121785887
500,17,1,1,516.7257,556.2923,-7.657176718711687,967.6313757957075,898.8080546863583
500,18,1,1,517.9244,553.0303,-6.7781900215552735,965.3918602792223,904.1095939951211
500,19,1,1,538.7094,559.2486,-3.8126678316732643,928.1441905413196,894.0567754662238
500,20,1,1,516.0794,554.2327,-7.392912795976755,968.8431663809872,902.1481410245191
500,21,1,1,522.5959,554.1837,-6.044402568026273,956.7621942690328,902.2279074610096
500,22,1,1,514.1163,555.3307,-8.016551896915143,972.5425939617165,900.3644134927171
500,23,1,1,516.1929,556.8514,-7.876609693779206,968.6301380743517,897.9056171897925
500,24,1,1,623.272,634.294,-1.7684092980271748,802.2179722496759,788.2779909631811
500,25,1,1,548.6554,672.4858,-22.569795175623906,911.3188351012311,743.5101231877312
500,26,1,1,537.0897,559.9786,-4.261653127959824,930.9431925430705,892.8912640590194
500,27,1,1,527.4881,563.3826,-6.804798060847248,947.888682228092,887.496347952528
500,28,1,1,524.7295,580.4141,-10.612058212850608,952.8719082879844,861.4539171257212
500,29,1,1,526.0977,565.1653,-7.425921078917465,950.3938146849911,884.6969196445713
500,30,1,1,521.0985,558.2618,-7.13172269734034,959.5114935084251,895.6371365549281
