batch_size,invalid_ratio_pct,invalid_requests,latency_ms,verification_calls,max_recursion_depth,isolated_invalid,isolation_correct,throughput_auth_s
10,5,1,37.5198,7,3,1,1,266.5259409698346
10,5,1,44.3469,9,4,1,1,225.49490494262284
10,5,1,45.4066,9,4,1,1,220.23230103112763
10,5,1,38.6008,7,3,1,1,259.061988352573
10,5,1,37.7326,7,3,1,1,265.0228184646698
10,5,1,44.4533,9,4,1,1,224.95517768084707
10,5,1,38.3803,7,3,1,1,260.55033441635425
10,5,1,47.4397,9,4,1,1,210.79391311496488
10,5,1,45.3088,9,4,1,1,220.70767709584013
10,5,1,45.4071,9,4,1,1,220.2298759445109
10,5,1,37.8832,7,3,1,1,263.9692528614267
10,5,1,38.6311,7,3,1,1,258.8587951158522
10,5,1,44.5125,9,4,1,1,224.65599550688006
10,10,1,37.5452,7,3,1,1,266.3456313989538
10,10,1,37.666,7,3,1,1,265.49142462698455
10,10,1,38.4573,7,3,1,1,260.02865515779837
10,10,1,37.7217,7,3,1,1,265.0993990196624
10,10,1,37.9029,7,3,1,1,263.8320550670265
10,10,1,37.1069,7,3,1,1,269.4916578857301
10,10,1,45.3294,7,3,1,1,220.60737622823157
10,10,1,50.6026,9,4,1,1,197.618304197808
10,10,1,41.0472,7,3,1,1,243.62197665126976
10,10,1,40.9169,7,3,1,1,244.39779162155492
10,10,1,65.1451,9,4,1,1,153.50348683170338
10,10,1,60.6606,9,4,1,1,164.85165000016485
10,10,1,40.5946,7,3,1,1,246.33818291102756
10,10,1,44.9668,9,4,1,1,222.3862938879351
10,10,1,38.1726,7,3,1,1,261.96800846680605
10,10,1,37.7366,7,3,1,1,264.9947266049405
10,10,1,38.4806,7,3,1,1,259.87120782939974
10,10,1,39.0641,7,3,1,1,255.98951466947912
10,10,1,47.8088,7,3,1,1,209.16651327789026
10,10,1,42.4955,7,3,1,1,235.3190337800473
10,10,1,40.6384,7,3,1,1,246.07268002677273
10,10,1,46.3988,9,4,1,1,215.52281524522184
10,10,1,38.3833,7,3,1,1,260.52997006510645
10,10,1,40.0708,7,3,1,1,249.5582818411412
10,10,1,44.735,9,4,1,1,223.53861629596514
10,10,1,37.725,7,3,1,1,265.0762094102054
10,10,1,44.2903,9,4,1,1,225.78307213994935
10,10,1,44.2304,9,4,1,1,226.08884387208795
10,10,1,37.6504,7,3,1,1,265.60142787327624
10,10,1,37.9651,7,3,1,1,263.39980666454187
10,20,2,37.2299,11,4,2,1,268.6013123860123
10,20,2,30.4852,9,4,2,1,328.0280267146025
10,20,2,37.281,11,4,2,1,268.23314825246104
10,20,2,39.1275,11,3,2,1,255.57472365983008
10,20,2,37.7063,11,4,2,1,265.2076708666722
10,20,2,48.5206,13,4,2,1,206.09802846625968
10,20,2,37.686,11,4,2,1,265.3505280475508
10,20,2,30.5535,9,4,2,1,327.2947452828645
10,20,2,32.0027,9,4,2,1,312.4736350370438
10,20,2,39.8266,11,3,2,1,251.0884685109952
10,20,2,25.4283,7,3,2,1,393.2626247134098
10,20,2,30.5486,9,4,2,1,327.3472434088632
10,20,2,39.3396,11,3,2,1,254.19678898616155
10,20,2,46.5576,13,4,2,1,214.78770383353094
10,20,2,38.5582,11,4,2,1,259.3482060884585
10,20,2,37.1101,11,4,2,1,269.4684196485593
10,20,2,37.2135,11,4,2,1,268.71968506052906
10,20,2,39.1921,11,3,2,1,255.1534620497498
10,20,2,32.0677,9,4,2,1,311.84026294370966
10,20,2,31.2456,9,4,2,1,320.04506234477816
10,20,2,52.4614,15,4,2,1,190.6163388701026
10,20,2,47.3021,13,4,2,1,211.40710454715543
10,20,2,45.9044,13,4,2,1,217.84404109409988
10,20,2,39.6863,11,3,2,1,251.9761227426089
10,20,2,46.0944,13,4,2,1,216.94609323475302
10,20,2,46.0949,13,4,2,1,216.94373997991102
10,20,2,47.1652,13,4,2,1,212.02072714628582
10,20,2,46.0338,13,4,2,1,217.23168628268795
10,20,2,45.3405,13,4,2,1,220.55336840131892
10,20,2,39.3905,11,3,2,1,253.86831850319237
10,30,3,38.9834,13,3,3,1,256.5194416084795
10,30,3,31.0381,11,4,3,1,322.18466980904117
10,30,3,44.7307,15,4,3,1,223.56010525209757
10,30,3,34.8807,13,4,3,1,286.69149415006007
10,30,3,31.8472,11,4,3,1,313.9993468813585
10,30,3,47.7464,15,4,3,1,209.4398740009718
10,30,3,35.5574,13,3,3,1,281.23541091305884
10,30,3,31.6455,13,4,3,1,316.0006952015294
10,30,3,26.6339,11,3,3,1,375.46134813151656
10,30,3,38.2516,15,4,3,1,261.42697298936514
10,30,3,21.6457,9,4,3,1,461.98552137376015
10,30,3,36.5471,15,4,3,1,273.6195211111142
10,30,3,34.7536,13,3,3,1,287.73997513926616
10,30,3,29.5458,11,3,3,1,338.45758111135933
10,30,3,34.4096,13,3,3,1,290.61657211940854
10,30,3,39.5456,15,4,3,1,252.87263311215406
10,30,3,41.0988,15,4,3,1,243.3161065529894
10,30,3,31.6617,13,4,3,1,315.83901053954776
10,30,3,43.8228,17,4,3,1,228.19171755341966
10,30,3,22.9306,9,4,3,1,436.0984884826389
10,30,3,32.8773,13,4,3,1,304.1612297846843
10,30,3,21.0874,9,3,3,1,474.21683090376246
10,30,3,31.7913,13,3,3,1,314.55146533800126
10,30,3,38.8736,15,4,3,1,257.2439907803754
10,30,3,36.702,13,4,3,1,272.46471581930143
10,30,3,35.0566,13,4,3,1,285.25299087760936
10,30,3,39.6897,15,4,3,1,251.95453732328536
10,30,3,35.4369,13,4,3,1,282.19172670295654
10,30,3,31.255,13,4,3,1,319.94880819068953
10,30,3,37.3013,15,4,3,1,268.0871712245954
25,0,0,33.5227,1,0,0,1,745.7633185871066
25,0,0,32.797,1,0,0,1,762.2648412964601
25,0,0,32.3301,1,0,0,1,773.2732036090207
25,0,0,32.6869,1,0,0,1,764.8323946290409
25,0,0,33.8255,1,0,0,1,739.0873749094618
25,0,0,36.9008,1,0,0,1,677.4920868924252
25,0,0,36.9686,1,0,0,1,676.2495739627683
25,0,0,36.3914,1,0,0,1,686.9754942101706
25,0,0,32.8986,1,0,0,1,759.9107560808059
25,0,0,32.6722,1,0,0,1,765.1765109175385
25,0,0,32.2877,1,0,0,1,774.2886610071326
25,0,0,32.007,1,0,0,1,781.0791389383572
25,0,0,33.6335,1,0,0,1,743.3065247446743
25,0,0,36.3734,1,0,0,1,687.3154558001178
25,0,0,54.4909,1,0,0,1,458.792202000701
25,0,0,34.8648,1,0,0,1,717.0555976228172
25,0,0,32.8978,1,0,0,1,759.9292353896005
25,0,0,32.4588,1,0,0,1,770.2071549163865
25,0,0,33.7528,1,0,0,1,740.6792917920884
25,0,0,32.9464,1,0,0,1,758.8082461209724
25,0,0,32.6023,1,0,0,1,766.8170650536925
25,0,0,33.1769,1,0,0,1,753.5363460721164
25,0,0,32.7533,1,0,0,1,763.2818677812616
25,0,0,32.366,1,0,0,1,772.4154977445468
25,0,0,32.7267,1,0,0,1,763.9022571783894
25,0,0,32.5041,1,0,0,1,769.133740051255
25,0,0,32.7989,1,0,0,1,762.2206842302637
25,0,0,32.4404,1,0,0,1,770.644011787771
25,0,0,32.275,1,0,0,1,774.593338497289
25,0,0,32.1934,1,0,0,1,776.5566855318172
25,5,1,70.264,11,5,1,1,355.8009791642947
25,5,1,70.4894,11,5,1,1,354.66325433327563
25,5,1,73.3136,11,5,1,1,341.00085113812446
25,5,1,64.7629,9,4,1,1,386.0234794921166
25,5,1,64.334,9,4,1,1,388.59700935741597
25,5,1,72.2965,11,5,1,1,345.7982059989073
25,5,1,66.233,9,4,1,1,377.45534703244607
25,5,1,71.5536,11,5,1,1,349.388430491268
25,5,1,73.0104,11,5,1,1,342.41697073293665
25,5,1,69.835,11,5,1,1,357.9866828953963
25,5,1,70.8471,11,5,1,1,352.8725946439586
25,5,1,70.4744,11,5,1,1,354.7387420112835
25,5,1,70.8142,11,5,1,1,353.0365378695234
25,5,1,63.5648,9,4,1,1,393.2994361659283
25,5,1,71.9331,11,5,1,1,347.5451495903833
25,5,1,64.9341,9,4,1,1,385.00572118501685
25,5,1,63.5577,9,4,1,1,393.3433714561729
25,5,1,65.691,9,4,1,1,380.5696366321109
25,5,1,71.156,11,5,1,1,351.3407161729158
25,5,1,72.0147,11,5,1,1,347.15134548918485
25,5,1,71.2237,11,5,1,1,351.006757582097
25,5,1,64.8652,9,4,1,1,385.41467535751065
25,5,1,64.1806,9,4,1,1,389.5258068637563
25,5,1,69.9651,11,5,1,1,357.3210071878694
25,5,1,72.6168,11,5,1,1,344.27295061197964
25,5,1,63.6494,9,4,1,1,392.7766797487486
25,5,1,63.282,9,4,1,1,395.05704623747675
25,5,1,64.3588,9,4,1,1,388.4472675065414
25,5,1,72.3328,11,5,1,1,345.6246682003185
25,5,1,74.7851,11,5,1,1,334.2911890202728
25,10,2,51.426,11,4,2,1,486.13541788200524
25,10,2,79.2065,19,5,2,1,315.6306616249929
25,10,2,71.2265,17,5,2,1,350.9929590812408
25,10,2,73.9094,17,5,2,1,338.2519679499495
25,10,2,79.865,19,5,2,1,313.0282351468103
25,10,2,72.6548,17,5,2,1,344.0928885634535
25,10,2,77.842,19,5,2,1,321.163382235811
25,10,2,83.2965,19,5,2,1,300.13265863511674
25,10,2,76.9454,17,5,2,1,324.9057123622724
25,10,2,58.6633,13,5,2,1,426.1608194561165
25,10,2,53.563,11,5,2,1,466.7401004424696
25,10,2,65.7156,15,5,2,1,380.42717406521433
25,10,2,64.0055,15,5,2,1,390.59143354867945
25,10,2,67.3341,15,4,2,1,371.2829012342928
25,10,2,75.1655,17,5,2,1,332.59939732989204
25,10,2,80.9051,19,5,2,1,309.00400592793284
25,10,2,64.0441,15,5,2,1,390.3560203047587
25,10,2,70.8762,17,5,2,1,352.7277139575767
25,10,2,73.7548,17,5,2,1,338.96098965762224
25,10,2,66.8669,15,5,2,1,373.8770602495405
25,10,2,77.8526,17,5,2,1,321.1196543211145
25,10,2,50.8853,11,5,2,1,491.30102406785454
25,10,2,74.2113,17,5,2,1,336.87592051345285
25,10,2,73.1592,17,5,2,1,341.7205218209057
25,10,2,81.6176,19,5,2,1,306.30648291544964
25,10,2,63.6343,15,5,2,1,392.869883066208
25,10,2,80.2309,19,5,2,1,311.60064264516535
25,10,2,74.402,17,5,2,1,336.01247278298973
25,10,2,80.8482,19,5,2,1,309.22147926608136
25,10,2,79.4609,19,5,2,1,314.6201465123098
25,20,5,76.7363,27,5,5,1,325.79105325641194
25,20,5,86.4412,29,5,5,1,289.2139396491488
25,20,5,80.831,27,5,5,1,309.28727839566506
25,20,5,66.805,23,5,5,1,374.223486265998
25,20,5,76.9311,25,5,5,1,324.9661060351405
25,20,5,105.025,35,5,5,1,238.038562247084
25,20,5,64.9655,23,5,5,1,384.81963503705805
