r_B,batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
1,200,3,1,1,220.7357,56.8899,74.22714132784138,906.0609588752521,3515.562516369338
1,200,4,1,1,219.3931,58.7012,73.24382580856008,911.6056977179319,3407.08537474532
1,200,5,1,1,229.4908,68.0695,70.3388981170487,871.4946307215802,2938.1734844533894
1,200,6,1,1,216.794,57.4987,73.47772539830437,922.534756496951,3478.3395102845802
1,200,7,1,1,217.5585,57.8023,73.43137592877318,919.2929717754075,3460.0699280132453
1,200,8,1,1,212.9412,58.2674,72.6368593771426,939.2264155550922,3432.4510789909964
1,200,9,1,1,212.3814,56.9984,73.16224490468562,941.7020511212374,3508.8704244329665
1,200,10,1,1,211.9591,57.598,72.82588952302591,943.578265806941,3472.3427896801973
1,200,11,1,1,213.2798,59.0021,72.3358236457461,937.7353129550947,3389.7098577847228
1,200,12,1,1,213.4504,57.0506,73.27219813127546,936.9858290263218,3505.6598878889968
1,200,13,1,1,211.114,57.0705,72.96697518876057,947.3554572411115,3504.4374939767476
1,200,14,1,1,264.1088,59.3629,77.52331614849638,757.2636731528825,3369.1076413045857
1,200,15,1,1,211.9596,57.618,72.81651786472517,943.5760399623324,3471.1374917560483
1,200,16,1,1,212.4798,58.0187,72.69448672297321,941.2659462217114,3447.164448703608
1,200,17,1,1,213.0104,57.2933,73.1030503674938,938.9212921059253,3490.8095711016817
1,200,18,1,1,267.4049,80.368,69.94520294878664,747.9294508066232,2488.5526577742385
1,200,19,1,1,408.7466,98.4159,75.92251531878186,489.300706109849,2032.1919527230866
1,200,20,1,1,309.1717,87.9616,71.54927181239421,646.8897379676083,2273.71944121071
1,200,21,1,1,323.5307,84.8227,73.78217894005114,618.1793567040161,2357.859393770771
1,200,22,1,1,329.7292,71.9997,78.16399032903364,606.5583515199746,2777.7893519000772
1,200,23,1,1,261.7896,67.0873,74.37358092147281,763.9722891971262,2981.190180555783
1,200,24,1,1,252.2421,70.4885,72.05521996526353,792.8890538098121,2837.3422615036498
1,200,25,1,1,251.3109,68.2661,72.83599716526422,795.8270015347524,2929.7118188969343
1,200,26,1,1,260.793,69.745,73.25656746921888,766.8917493951142,2867.589074485626
1,200,27,1,1,270.2873,67.7543,74.93248850389938,739.9533755378073,2951.842170902806
1,200,28,1,1,273.4191,80.37,70.60556486361048,731.477793614272,2488.4907303720292
1,200,29,1,1,258.0819,68.2441,73.55719250361997,774.9477975789855,2930.656276513281
1,200,30,1,1,254.3518,67.6866,73.38859013382253,786.3125010320351,2954.7945974535583
1,300,1,1,1,384.8821,102.6524,73.32887136086609,779.459476031751,2922.4840334955634
1,300,2,1,1,386.4917,107.8835,72.08646395252472,776.2133054862497,2780.777412672003
1,300,3,1,1,385.8124,102.7424,73.36985540122609,777.5799844691358,2919.924004111253
1,300,4,1,1,384.4693,106.859,72.20610332216383,780.2963721680769,2807.4378386471894
1,300,5,1,1,362.8884,95.0488,73.80770506855552,826.7004401353144,3156.2734090277836
1,300,6,1,1,356.5525,97.5843,72.63115529971043,841.3908190238465,3074.2650200903217
1,300,7,1,1,469.7267,138.3095,70.55532504326452,638.6692517159446,2169.0484023150975
1,300,8,1,1,401.0244,93.6172,76.6554853021412,748.0841564752668,3204.539336788539
1,300,9,1,1,365.9578,94.917,74.06340293880878,819.7666506903255,3160.6561522172
1,300,10,1,1,364.7775,95.5806,73.79756152723236,822.4191459177171,3138.7122491384234
1,300,11,1,1,354.5282,94.9524,73.21725041900757,846.1950276451915,3159.477801508967
1,300,12,1,1,356.0074,96.2093,72.97547747603001,842.6791128499013,3118.201670732455
1,300,13,1,1,354.8114,93.7398,73.5803866504853,845.5196197190959,3200.34819788393
1,300,14,1,1,344.5037,94.516,72.5645907431473,870.8179331600793,3174.0657666426846
1,300,15,1,1,363.7151,100.4815,72.37356931290452,824.8214055451643,2985.6242193836674
1,300,16,1,1,351.0736,94.0403,73.2135085064784,854.5216729483504,3190.1216818746852
1,300,17,1,1,354.1817,93.9717,73.46794032554476,847.0228698998283,3192.4504930739786
1,300,18,1,1,361.8358,95.5582,73.59072817007052,829.1053566286145,3139.4480013227544
1,300,19,1,1,352.8429,95.7547,72.86194507527287,850.2367484225983,3133.0054817152577
1,300,20,1,1,392.182,94.679,75.85840247640127,764.9509666430381,3168.601273777712
1,300,21,1,1,359.8489,95.4349,73.47917417560537,833.6832487191151,3143.5041059402797
1,300,22,1,1,352.5836,97.1213,72.45439095862655,850.86203669144,3088.920761974973
1,300,23,1,1,337.4288,90.5605,73.16159735031509,889.0764510913116,3312.702557958492
1,300,24,1,1,317.8531,86.1949,72.88215845621765,943.8322294166708,3480.484344201339
1,300,25,1,1,321.3017,84.9137,73.57197300854618,933.701875838192,3532.9987976027423
1,300,26,1,1,502.927,133.9501,73.36589604455517,596.5080419225852,2239.639985337824
1,300,27,1,1,354.8636,95.0598,73.21229903546039,845.395244820827,3155.90817569572
1,300,28,1,1,352.2614,96.0165,72.74282677579774,851.6402875818923,3124.46298292481
1,300,29,1,1,370.4848,96.5932,73.92789123872289,809.7498196957068,3105.808690466824
1,300,30,1,1,354.434,93.6812,73.56878854737413,846.4199258536145,3202.3500979919127
1,500,1,1,1,587.0359,206.3836,64.84310414405661,851.7366655088728,2422.673119375764
1,500,2,1,1,593.2896,157.2252,73.49941748515396,842.7587471615885,3180.1517822842648
1,500,3,1,1,637.3247,156.8708,75.38604733191731,784.5294557075852,3187.33633027944
1,500,4,1,1,529.0579,141.5641,73.2422292531687,945.0761438398331,3531.9689101968647
1,500,5,1,1,527.9526,141.2797,73.24007874949379,947.0547166544876,3539.0788627099296
1,500,6,1,1,631.3115,149.6023,76.3029344467826,792.0020465332882,3342.1946052968433
1,500,7,1,1,586.0518,141.8442,75.79664459694519,853.1669043589662,3524.9943247591373
1,500,8,1,1,529.9249,141.4921,73.29959396133302,943.5299228249135,3533.766196133919
1,500,9,1,1,527.8653,147.9301,71.97578624698384,947.2113434999419,3379.9747313089088
1,500,10,1,1,580.8136,155.8677,73.16390318683997,860.8613847885106,3207.848707589834
1,500,11,1,1,541.3831,143.0297,73.58068620908189,923.5604140579933,3495.777450417641
1,500,12,1,1,540.0643,143.1815,73.48806429160379,925.8156852804378,3492.0712522218305
1,500,13,1,1,552.8918,148.3723,73.16431533258405,904.336074436264,3369.901255153422
1,500,14,1,1,533.4132,143.0786,73.17677927730323,937.3596303953484,3494.582697901713
1,500,15,1,1,644.9726,176.061,72.7025613181087,775.2267305618874,2839.924798791328
1,500,16,1,1,595.5361,162.0532,72.78868569008662,839.5796661193167,3085.406520821557
1,500,17,1,1,529.1542,142.6237,73.04685477314553,944.90415081275,3505.7287112871136
1,500,18,1,1,534.7932,147.4151,72.43512071582062,934.9408332043115,3391.782795656619
1,500,19,1,1,528.4368,141.7329,73.17883614464398,946.1869423174163,3527.7624320111986
1,500,20,1,1,529.4085,143.8162,72.83455025750438,944.4502685544339,3476.6597921513708
1,500,21,1,1,531.2068,142.6449,73.14701167229033,941.2530110683822,3505.2076870606656
1,500,22,1,1,533.4705,141.4889,73.47765246625634,937.2589487141274,3533.846117964024
1,500,23,1,1,525.8463,142.1771,72.96223250025722,950.8481851065607,3516.74074094914
1,500,24,1,1,669.4515,182.8282,72.68985131857946,746.880095122649,2734.807868807985
1,500,25,1,1,538.1679,166.0538,69.14461081755341,929.0780813943009,3011.0723151171487
1,500,26,1,1,535.407,142.4198,73.39971274189541,933.8690005920728,3510.747803325099
1,500,27,1,1,539.3212,141.6087,73.7431608473763,927.0913140443952,3530.856508110024
1,500,28,1,1,530.303,143.6758,72.906847594677,942.857196734697,3480.057184299652
1,500,29,1,1,531.7865,140.8786,73.50842866451103,940.2269519816692,3549.1550881397175
1,500,30,1,1,528.4503,143.8107,72.78633392771279,946.1627706522261,3476.792756032757
2,1,1,1,1,1.1155,2.0424,-83.09278350515467,896.4589870013448,489.6200548374461
2,1,2,1,1,1.0451,2.1016,-101.09080470768349,956.846234810066,475.827940616673
2,1,3,1,1,1.0358,2.0287,-95.85827379803051,965.4373431164316,492.92650465815547
2,1,4,1,1,1.0395,2.0269,-94.98797498797497,962.000962000962,493.36425082638516
2,1,5,1,1,1.0288,2.0144,-95.80093312597204,972.0062208398135,496.4257347100873
2,1,6,1,1,1.0299,2.1372,-107.51529274686861,970.9680551509855,467.9019277559423
2,1,7,1,1,1.0936,2.0603,-88.39612289685442,914.41111923921,485.3662088045431
2,1,8,1,1,1.0503,2.0462,-94.82052746834235,952.1089212605921,488.710780959828
2,1,9,1,1,1.054,2.0432,-93.85199240986717,948.7666034155598,489.42834768989815
